place_id,type,persons,latitude,longitude
2038748,Household,1,41.80832291,-87.61528815
2038749,Household,2,41.80830089,-87.61639919
2038750,Household,7,41.80898929,-87.61559072
2038751,Household,2,41.80839559,-87.61567358
2038752,Household,1,41.80774609,-87.61558333
2038753,Household,1,41.80788866,-87.61526544
2038754,Household,1,41.80763585,-87.61570831
2038755,Household,2,41.80914139,-87.61363447
2038756,Household,3,41.80876171,-87.61154585
2038757,Household,1,41.80891798,-87.61461195
2038758,Household,1,41.80878793,-87.61539136
2038759,Household,2,41.80656334,-87.61209874
2038760,Household,1,41.80878025,-87.61416908
2038761,Household,1,41.80765909,-87.61511227
2038762,Household,1,41.80823959,-87.61593471
2038763,Household,1,41.80754938,-87.61530834
2038764,Household,1,41.80793906,-87.61475871
2038765,Household,1,41.80896497,-87.61354732
2038766,Household,1,41.80862948,-87.61641327
2038767,Household,2,41.80842707,-87.61362207
2038768,Household,3,41.8085654,-87.61583028
2038769,Household,2,41.80870097,-87.61572169
2038770,Household,1,41.80909068,-87.61540179
2038771,Household,2,41.80762379,-87.6146649
2038772,Household,1,41.80843118,-87.6166044
2038773,Household,1,41.8084347,-87.61338209
2038774,Household,1,41.80872652,-87.61467886
2038775,Household,3,41.80897921,-87.61502849
2038776,Household,2,41.80744803,-87.61233847
2038777,Household,2,41.80913844,-87.614781
2038778,Household,1,41.80834411,-87.61516922
2038779,Household,2,41.80817922,-87.61517032
2038780,Household,2,41.8082666,-87.6157431
2038781,Household,1,41.8091347,-87.61293698
2038782,Household,1,41.80597464,-87.61216267
2038783,Household,3,41.80897525,-87.61506732
2038784,Household,1,41.80851385,-87.61175542
2038785,Household,4,41.80800207,-87.61341269
2038786,Household,2,41.8077407,-87.61479456
2038787,Household,1,41.8084102,-87.61631055
2038788,Household,1,41.80933559,-87.61233789
2038789,Household,1,41.80693407,-87.61247339
2038790,Household,6,41.80696615,-87.61268724
2038791,Household,2,41.80908286,-87.61663148
2038792,Household,2,41.80870337,-87.61419627
2038793,Household,2,41.80825047,-87.6140581
2038794,Household,3,41.80877079,-87.61359198
2038795,Household,1,41.80761309,-87.61512168
2038796,Household,1,41.80814125,-87.61574118
2038797,Household,4,41.80878307,-87.6130551
2038798,Household,1,41.80872451,-87.61453151
2038799,Household,3,41.80859014,-87.61580662
2038800,Household,4,41.80595717,-87.61274902
2038801,Household,4,41.80897382,-87.61438579
2038802,Household,1,41.80885294,-87.61510138
2038803,Household,1,41.80853849,-87.61464361
2038804,Household,3,41.80884325,-87.61590155
2038805,Household,6,41.80794912,-87.61396023
2038806,Household,1,41.80799598,-87.61506196
2038807,Household,2,41.8084904,-87.61547587
2038808,Household,3,41.80865074,-87.61459746
2038809,Household,1,41.80905159,-87.61452395
2038810,Household,2,41.80766391,-87.61531148
2038811,Household,2,41.80754939,-87.61530728
2038812,Household,2,41.80837697,-87.61339031
2038813,Household,1,41.80765456,-87.61577586
2038814,Household,3,41.80874514,-87.61422988
2038815,Household,1,41.80841921,-87.61514769
2038816,Household,1,41.80789169,-87.61431654
2038817,Household,1,41.80848724,-87.6137404
2038818,Household,2,41.8078924,-87.61568057
2038819,Household,1,41.80837345,-87.61592468
2038820,Household,1,41.80775744,-87.61588926
2038821,Household,1,41.80787886,-87.61449335
2038822,Household,1,41.80805515,-87.61526005
2038823,Household,2,41.80935755,-87.61283136
2038824,Household,1,41.80769745,-87.61460929
2038825,Household,1,41.80813534,-87.6119313
2038826,Household,2,41.80898565,-87.61250279
2038827,Household,2,41.80886959,-87.61220056
2038828,Household,1,41.80765896,-87.61574856
2038829,Household,1,41.80771885,-87.61433143
2038830,Household,1,41.80665137,-87.61217934
2038831,Household,1,41.80840527,-87.61567011
2038832,Household,6,41.80810701,-87.61470563
2038833,Household,2,41.80933423,-87.6146645
2038834,Household,2,41.80720463,-87.6125091
2038835,Household,1,41.8080874,-87.6138329
2038836,Household,2,41.80896583,-87.61469311
2038837,Household,2,41.80844088,-87.61334421
2038838,Household,1,41.80822993,-87.61169746
2038839,Household,2,41.80776562,-87.61504016
2038840,Household,1,41.80771242,-87.61470608
2038841,Household,2,41.80855025,-87.61395517
2038842,Household,2,41.80865098,-87.61201252
2038843,Household,2,41.80769597,-87.61325462
2038844,Household,1,41.80802413,-87.61442283
2038845,Household,4,41.80673456,-87.61188176
2038846,Household,2,41.80914283,-87.61543738
2038847,Household,3,41.80894619,-87.61436109
2038848,Household,6,41.80859353,-87.61408032
2038849,Household,2,41.80810794,-87.61484345
2038850,Household,2,41.80890977,-87.61400447
2038851,Household,1,41.80874827,-87.61574346
2038852,Household,2,41.80905857,-87.61471927
2038853,Household,1,41.80818547,-87.61628922
2038854,Household,5,41.80872316,-87.61584671
2038855,Household,1,41.80897123,-87.61635085
2038856,Household,1,41.80820631,-87.61276687
2038857,Household,1,41.80709991,-87.61224175
2038858,Household,2,41.80933363,-87.61432474
2038859,Household,3,41.80843241,-87.61579889
2038860,Household,1,41.80887926,-87.61656676
2038861,Household,1,41.80884544,-87.61423653
2038862,Household,1,41.80705925,-87.61201253
2038863,Household,1,41.80802268,-87.61545686
2038864,Household,2,41.80754739,-87.61551035
2038865,Household,2,41.80842636,-87.61399343
2038866,Household,4,41.80812744,-87.61571781
2038867,Household,4,41.80794135,-87.61503567
2038868,Household,1,41.80755926,-87.61511331
2038869,Household,2,41.80935743,-87.61283707
2038870,Household,1,41.8081545,-87.61404079
2038871,Household,4,41.80838837,-87.61654834
2038872,Household,1,41.8083631,-87.61344426
2038873,Household,1,41.80590103,-87.61224761
2038874,Household,2,41.80930428,-87.61314493
2038875,Household,2,41.80840055,-87.61477892
2038876,Household,2,41.80885922,-87.61488241
2038877,Household,1,41.80890241,-87.61547812
2038878,Household,1,41.80835187,-87.61515591
2038879,Household,2,41.80904995,-87.61586465
2038880,Household,1,41.80903479,-87.61172744
2038881,Household,1,41.80788387,-87.61636714
2038882,Household,2,41.80912317,-87.61663384
2038883,Household,5,41.80624887,-87.61203595
2038884,Household,2,41.80850247,-87.61336842
2038885,Household,2,41.80819904,-87.61531039
2038886,Household,1,41.808302,-87.61565273
2038887,Household,1,41.80610467,-87.61274902
2038888,Household,1,41.80799448,-87.61659999
2038889,Household,6,41.80833314,-87.61661718
2038890,Household,1,41.80881476,-87.61461794
2038891,Household,1,41.80853617,-87.61280312
2038892,Household,1,41.80873126,-87.61414192
2038893,Household,6,41.80829079,-87.61455325
2038894,Household,3,41.80862689,-87.61248833
2038895,Household,3,41.80857532,-87.61380254
2038896,Household,2,41.80782149,-87.61430456
2038897,Household,2,41.80893607,-87.6143277
2038898,Household,1,41.80765171,-87.61529391
2038899,Household,1,41.80817959,-87.61366495
2038900,Household,1,41.80904009,-87.61182117
2038901,Household,4,41.80892747,-87.61472084
2038902,Household,1,41.80877944,-87.61231869
2038903,Household,4,41.80796249,-87.61378327
2038904,Household,1,41.80791301,-87.61311635
2038905,Household,1,41.80686175,-87.61242035
2038906,Household,3,41.80872356,-87.61513193
2038907,Household,2,41.80912209,-87.61500599
2038908,Household,2,41.80780316,-87.61528964
2038909,Household,3,41.80890217,-87.61161262
2038910,Household,1,41.80859843,-87.61348669
2038911,Household,7,41.80767746,-87.61337304
2038912,Household,4,41.80798106,-87.61430391
2038913,Household,3,41.80834513,-87.61525084
2038914,Household,4,41.80680436,-87.61154901
2038915,Household,1,41.80828814,-87.61570731
2038916,Household,2,41.80749314,-87.61154901
2038917,Household,1,41.80875201,-87.61569564
2038918,Household,2,41.8068735,-87.61223999
2038919,Household,1,41.80794,-87.61352321
2038920,Household,4,41.80845843,-87.61376251
2038921,Household,1,41.8082934,-87.61633869
2038922,Household,3,41.80850733,-87.6135481
2038923,Household,1,41.8090885,-87.61537713
2038924,Household,2,41.80786425,-87.61550253
2038925,Household,2,41.80755282,-87.61495961
2038926,Household,1,41.8076515,-87.61524426
2038927,Household,2,41.80932084,-87.616556
2038928,Household,1,41.80875469,-87.61499376
2038929,Household,4,41.80831997,-87.61388184
2038930,Household,1,41.80754728,-87.61584665
2038931,Household,1,41.80837439,-87.61399012
2038932,Household,1,41.80872274,-87.61411586
2038933,Household,2,41.80821591,-87.61264778
2038934,Household,2,41.80836086,-87.61390339
2038935,Household,5,41.80814882,-87.61270516
2038936,Household,1,41.80670651,-87.61184177
2038937,Household,2,41.80789781,-87.61165229
2038938,Household,1,41.80762243,-87.61579126
2038939,Household,2,41.80768425,-87.61544303
2038940,Household,1,41.80719297,-87.61169409
2038941,Household,5,41.80844378,-87.6155926
2038942,Household,2,41.80684917,-87.61205197
2038943,Household,1,41.80626774,-87.61167166
2038944,Household,1,41.80781764,-87.61423507
2038945,Household,4,41.80903609,-87.61611914
2038946,Household,1,41.80869845,-87.61174233
2038947,Household,6,41.8079908,-87.61374174
2038948,Household,2,41.80846365,-87.6160776
2038949,Household,2,41.80588817,-87.6126254
2038950,Household,2,41.80616214,-87.61213701
2038951,Household,1,41.80910057,-87.61576222
2038952,Household,1,41.80853478,-87.6146217
2038953,Household,1,41.80891634,-87.61427495
2038954,Household,1,41.80817047,-87.61574673
2038955,Household,1,41.80934215,-87.61353192
2038956,Household,2,41.80871837,-87.6127426
2038957,Household,1,41.80910676,-87.61203783
2038958,Household,1,41.80892674,-87.61429719
2038959,Household,1,41.80871819,-87.61289218
2038960,Household,1,41.80768833,-87.61575558
2038961,Household,4,41.80830466,-87.61323996
2038962,Household,1,41.80831439,-87.61582718
2038963,Household,3,41.80846554,-87.61633763
2038964,Household,4,41.80842077,-87.61473869
2038965,Household,3,41.80820155,-87.61530998
2038966,Household,1,41.80940034,-87.61201181
2038967,Household,1,41.80903918,-87.61460971
2038968,Household,1,41.80815896,-87.61294734
2038969,Household,3,41.80762985,-87.61515596
2038970,Household,1,41.80895273,-87.61420845
2038971,Household,1,41.80792286,-87.61315371
2038972,Household,3,41.80805922,-87.61550819
2038973,Household,2,41.80832928,-87.61250155
2038974,Household,1,41.8075949,-87.61519273
2038975,Household,3,41.80912468,-87.61182679
2038976,Household,2,41.80845462,-87.61472848
2038977,Household,2,41.80755259,-87.61259657
2038978,Household,2,41.80770596,-87.61452479
2038979,Household,1,41.80797147,-87.61314439
2038980,Household,1,41.80934142,-87.61356477
2038981,Household,2,41.8061426,-87.61205924
2038982,Household,2,41.80876411,-87.61209778
2038983,Household,1,41.8088958,-87.61353025
2038984,Household,1,41.80609445,-87.61274902
2038985,Household,1,41.80830229,-87.61578678
2038986,Household,3,41.80879179,-87.61632333
2038987,Household,1,41.80857168,-87.61377249
2038988,Household,4,41.80770921,-87.61253671
2038989,Household,3,41.80587416,-87.61184693
2038990,Household,4,41.80810301,-87.61559063
2038991,Household,2,41.80933381,-87.61442647
2038992,Household,3,41.80795628,-87.6138785
2038993,Household,2,41.80771029,-87.61488069
2038994,Household,1,41.80911668,-87.61175393
2038995,Household,1,41.80878565,-87.61273016
2038996,Household,1,41.80918255,-87.61268652
2038997,Household,1,41.80869491,-87.61447971
2038998,Household,2,41.80906267,-87.61614514
2038999,Household,2,41.80913797,-87.61373441
2039000,Household,5,41.80774475,-87.61336825
2039001,Household,1,41.80768551,-87.61232586
2039002,Household,3,41.80781423,-87.61571648
2039003,Household,2,41.80882556,-87.6142158
2039004,Household,1,41.80773995,-87.61430338
2039005,Household,1,41.80772538,-87.6155256
2039006,Household,1,41.80931603,-87.61355184
2039007,Household,1,41.80833609,-87.61441809
2039008,Household,1,41.80785795,-87.61476025
2039009,Household,1,41.80889692,-87.61347062
2039010,Household,1,41.80878714,-87.61632697
2039011,Household,1,41.8084534,-87.61350961
2039012,Household,2,41.80829244,-87.61630105
2039013,Household,1,41.8073345,-87.61213844
2039014,Household,1,41.80767602,-87.61489369
2039015,Household,1,41.80798267,-87.61410645
2039016,Household,3,41.80903388,-87.61409259
2039017,Household,1,41.80907712,-87.61252244
2039018,Household,1,41.80876423,-87.61491165
2039019,Household,1,41.80914346,-87.61651561
2039020,Household,3,41.80843975,-87.61648733
2039021,Household,8,41.80893708,-87.61505498
2039022,Household,2,41.80826652,-87.61414334
2039023,Household,1,41.80827485,-87.61331391
2039024,Household,2,41.80887974,-87.61513384
2039025,Household,1,41.80933342,-87.61420191
2039026,Household,1,41.80714758,-87.61212991
2039027,Household,2,41.80789216,-87.61280367
2039028,Household,3,41.80901838,-87.61487625
2039029,Household,4,41.80869849,-87.61562241
2039030,Household,2,41.80906246,-87.6155668
2039031,Household,1,41.80862325,-87.61366452
2039032,Household,1,41.80793573,-87.61227962
2039033,Household,1,41.80819046,-87.61348403
2039034,Household,1,41.80859896,-87.61450545
2039035,Household,2,41.80723734,-87.61235874
2039036,Household,1,41.80699902,-87.61216923
2039037,Household,1,41.80755531,-87.61581357
2039038,Household,2,41.80896024,-87.61523749
2039039,Household,1,41.80594428,-87.61196759
2039040,Household,1,41.80610794,-87.61215763
2039041,Household,6,41.80840192,-87.61648039
2039042,Household,2,41.80788092,-87.61536983
2039043,Household,1,41.8087138,-87.61180909
2039044,Household,1,41.80702322,-87.61231797
2039045,Household,1,41.80910577,-87.61388978
2039046,Household,1,41.80778951,-87.61357923
2039047,Household,3,41.80767387,-87.61525432
2039048,Household,1,41.80850613,-87.61498752
2039049,Household,1,41.80812138,-87.61430702
2039050,Household,3,41.80832296,-87.61638092
2039051,Household,2,41.80851393,-87.61390093
2039052,Household,2,41.80878953,-87.61554145
2039053,Household,2,41.8075577,-87.61446485
2039054,Household,1,41.80784731,-87.61307015
2039055,Household,6,41.80849243,-87.61417615
2039056,Household,1,41.80711347,-87.61193961
2039057,Household,2,41.80890164,-87.61471781
2039058,Household,2,41.80847067,-87.61400441
2039059,Household,1,41.80819232,-87.61430791
2039060,Household,1,41.80843497,-87.61647466
2039061,Household,1,41.80825446,-87.614818
2039062,Household,1,41.80838308,-87.6133908
2039063,Household,4,41.80847717,-87.6163282
2039064,Household,1,41.80850793,-87.61173827
2039065,Household,1,41.80939791,-87.61205615
2039066,Household,4,41.80853995,-87.61493915
2039067,Household,2,41.8090509,-87.61396165
2039068,Household,1,41.80890332,-87.61174586
2039069,Household,1,41.80934176,-87.61354959
2039070,Household,2,41.80818177,-87.61287079
2039071,Household,1,41.8083339,-87.61338124
2039072,Household,4,41.80866086,-87.61646182
2039073,Household,2,41.80851909,-87.61489649
2039074,Household,2,41.80619181,-87.61187049
2039075,Household,1,41.80848196,-87.6134218
2039076,Household,1,41.80807624,-87.61455545
2039077,Household,1,41.80786805,-87.61559308
2039078,Household,3,41.80886494,-87.61419355
2039079,Household,1,41.8086912,-87.61225345
2039080,Household,3,41.80892632,-87.61368714
2039081,Household,1,41.80619311,-87.61245256
2039082,Household,2,41.8086623,-87.61420051
2039083,Household,2,41.80784068,-87.61289052
2039084,Household,4,41.80866932,-87.6156017
2039085,Household,4,41.80696357,-87.61274902
2039086,Household,1,41.80893932,-87.61528565
2039087,Household,2,41.80802612,-87.61277027
2039088,Household,1,41.80872891,-87.61399418
2039089,Household,1,41.80902061,-87.61381065
2039090,Household,1,41.80854366,-87.61648007
2039091,Household,4,41.80781574,-87.61570639
2039092,Household,1,41.80817552,-87.61509406
2039093,Household,1,41.80821657,-87.61403367
2039094,Household,4,41.8059832,-87.61154901
2039095,Household,3,41.80759848,-87.61387201
2039096,Household,5,41.80839822,-87.61594363
2039097,Household,1,41.80780877,-87.61154852
2039098,Household,1,41.80618855,-87.61210864
2039099,Household,5,41.80896417,-87.61203666
2039100,Household,2,41.80806628,-87.61538509
2039101,Household,2,41.80898548,-87.61581556
2039102,Household,1,41.80816361,-87.61660858
2039103,Household,1,41.80794228,-87.61503477
2039104,Household,2,41.80897348,-87.61647504
2039105,Household,6,41.80851373,-87.61228512
2039106,Household,1,41.80803073,-87.61566827
2039107,Household,1,41.80832178,-87.61472161
2039108,Household,2,41.80720332,-87.61183538
2039109,Household,1,41.80922473,-87.61227588
2039110,Household,2,41.80890376,-87.61180409
2039111,Household,2,41.80818988,-87.61239956
2039112,Household,1,41.80759027,-87.61567897
2039113,Household,1,41.80793201,-87.61268017
2039114,Household,3,41.80896488,-87.6153805
2039115,Household,3,41.80758298,-87.61596912
2039116,Household,2,41.8082459,-87.61197978
2039117,Household,2,41.80799386,-87.61341987
2039118,Household,1,41.8086709,-87.61511126
2039119,Household,2,41.80853756,-87.61194109
2039120,Household,2,41.80636391,-87.61240994
2039121,Household,1,41.8083676,-87.61644249
2039122,Household,3,41.80862314,-87.61595114
2039123,Household,4,41.80822957,-87.61569327
2039124,Household,1,41.80837322,-87.61354881
2039125,Household,2,41.8080908,-87.61615371
2039126,Household,3,41.80873475,-87.61445725
2039127,Household,2,41.8089548,-87.61231221
2039128,Household,1,41.80792631,-87.61185522
2039129,Household,1,41.80903473,-87.61294514
2039130,Household,1,41.80862308,-87.61352696
2039131,Household,1,41.8088171,-87.61547052
2039132,Household,1,41.80843122,-87.61350642
2039133,Household,2,41.80867236,-87.61435494
2039134,Household,2,41.80851257,-87.61620669
2039135,Household,2,41.80906353,-87.61352036
2039136,Household,1,41.80754419,-87.61191868
2039137,Household,1,41.80872297,-87.61490615
2039138,Household,4,41.80879869,-87.61302326
2039139,Household,3,41.80860882,-87.61263022
2039140,Household,2,41.80765996,-87.61441925
2039141,Household,1,41.80856323,-87.61433459
2039142,Household,2,41.80808947,-87.61498128
2039143,Household,5,41.80906176,-87.61512233
2039144,Household,1,41.80705239,-87.61236233
2039145,Household,1,41.80862326,-87.61566575
2039146,Household,2,41.80671421,-87.61191444
2039147,Household,3,41.80806572,-87.61175724
2039148,Household,1,41.80854892,-87.61627507
2039149,Household,1,41.80914515,-87.61595558
2039150,Household,3,41.80828636,-87.61329528
2039151,Household,2,41.80809401,-87.61181434
2039152,Household,1,41.80765553,-87.61457076
2039153,Household,1,41.80799838,-87.61475111
2039154,Household,1,41.80858784,-87.61469817
2039155,Household,2,41.80853561,-87.61618297
2039156,Household,3,41.80860693,-87.61410925
2039157,Household,1,41.80781962,-87.61268235
2039158,Household,2,41.8080041,-87.61513173
2039159,Household,2,41.80774895,-87.61305377
2039160,Household,1,41.8087214,-87.61368195
2039161,Household,1,41.80874928,-87.61458112
2039162,Household,1,41.80794797,-87.61566011
2039163,Household,4,41.80702501,-87.61186139
2039164,Household,3,41.8077618,-87.61259316
2039165,Household,1,41.80828318,-87.61654911
2039166,Household,3,41.8089237,-87.61483232
2039167,Household,1,41.80778061,-87.6115486
2039168,Household,3,41.8082137,-87.6144703
2039169,Household,1,41.80866255,-87.61428679
2039170,Household,1,41.80886393,-87.61502496
2039171,Household,1,41.80609455,-87.61274902
2039172,Household,3,41.80851113,-87.61232237
2039173,Household,1,41.80848072,-87.61402993
2039174,Household,1,41.80686089,-87.61190774
2039175,Household,2,41.8078778,-87.61469746
2039176,Household,1,41.80771842,-87.61567719
2039177,Household,5,41.80872348,-87.61612289
2039178,Household,1,41.80763813,-87.61403757
2039179,Household,2,41.80856855,-87.61516713
2039180,Household,1,41.80768436,-87.61154887
2039181,Household,2,41.80935501,-87.61294692
2039182,Household,1,41.80863503,-87.61426131
2039183,Household,6,41.80815761,-87.61386161
2039184,Household,1,41.80903828,-87.61533141
2039185,Household,1,41.80839311,-87.61596165
2039186,Household,1,41.80933904,-87.61367314
2039187,Household,2,41.80587823,-87.61192168
2039188,Household,1,41.8087302,-87.61560911
2039189,Household,1,41.80848595,-87.61421978
2039190,Household,1,41.80786079,-87.61332376
2039191,Household,3,41.80782299,-87.6137609
2039192,Household,1,41.80935574,-87.6129139
2039193,Household,1,41.80762051,-87.61202096
2039194,Household,7,41.80789792,-87.61168955
2039195,Household,1,41.80758199,-87.61611566
2039196,Household,2,41.80837514,-87.61464159
2039197,Household,1,41.80870474,-87.61601819
2039198,Household,2,41.80662936,-87.61154901
2039199,Household,1,41.80907952,-87.61555305
2039200,Household,1,41.80840176,-87.61470124
2039201,Household,1,41.80838534,-87.61619429
2039202,Household,3,41.80900385,-87.61212476
2039203,Household,1,41.80711634,-87.61201883
2039204,Household,1,41.80768392,-87.61367327
2039205,Household,2,41.80755298,-87.61494343
2039206,Household,1,41.807428,-87.61237158
2039207,Household,1,41.80819172,-87.61318645
2039208,Household,1,41.80892794,-87.61449928
2039209,Household,2,41.80894635,-87.61359913
2039210,Household,1,41.80832558,-87.61605201
2039211,Household,6,41.80833878,-87.61545663
2039212,Household,2,41.80762715,-87.61514299
2039213,Household,2,41.80937745,-87.61242902
2039214,Household,4,41.80859664,-87.61503922
2039215,Household,2,41.80694894,-87.61274902
2039216,Household,1,41.80916396,-87.61573798
2039217,Household,1,41.80825184,-87.61286443
2039218,Household,1,41.80630687,-87.61262126
2039219,Household,1,41.80854009,-87.61181919
2039220,Household,1,41.80838581,-87.61176049
2039221,Household,4,41.80759769,-87.61525649
2039222,Household,1,41.80658022,-87.61197693
2039223,Household,1,41.80886749,-87.6153077
2039224,Household,1,41.80781049,-87.61614299
2039225,Household,5,41.80882392,-87.613652
2039226,Household,2,41.80893445,-87.61557129
2039227,Household,1,41.80697992,-87.6162875
2039228,Household,1,41.80588304,-87.61560634
2039229,Household,1,41.8066748,-87.61578023
2039230,Household,1,41.80572501,-87.61590961
2039231,Household,3,41.80628461,-87.61422634
2039232,Household,1,41.8057649,-87.61563446
2039233,Household,1,41.805733,-87.6146288
2039234,Household,5,41.80586138,-87.61539923
2039235,Household,5,41.80644576,-87.61657899
2039236,Household,3,41.80617407,-87.61320947
2039237,Household,1,41.80745606,-87.61540157
2039238,Household,2,41.80690789,-87.61368278
2039239,Household,4,41.80630513,-87.61318034
2039240,Household,1,41.80601236,-87.6135828
2039241,Household,2,41.80706586,-87.61338646
2039242,Household,4,41.80600024,-87.61645447
2039243,Household,1,41.80657934,-87.6135277
2039244,Household,1,41.80743549,-87.61609511
2039245,Household,1,41.80598198,-87.61611009
2039246,Household,1,41.80572338,-87.61606477
