person_id,hh_id,relate,sex,age,school_id,work_id,gq_id
5451771,2038739,1,2,55,,,
5451772,2038740,1,2,32,,1.70314E+15,
5451773,2038741,1,2,50,,1.70314E+15,
5451774,2038742,1,1,59,,,
5451775,2038742,3,1,23,,1.70313E+15,
5451776,2038743,1,1,76,,,
5451777,2038743,2,2,65,,,
5451778,2038744,1,2,47,,1.70313E+15,
5451779,2038744,3,1,21,,,
5451780,2038744,3,2,16,1.70993E+11,1.70317E+15,
5451781,2038744,8,2,6,1.70993E+11,,
5451782,2038744,8,2,1,,,
5451783,2038744,19,1,46,,,
5451784,2038745,1,2,57,,1.70318E+15,
5451785,2038746,1,2,81,,,
5451786,2038747,1,1,45,,1.70313E+15,
5451787,2038748,1,2,76,,,
5451788,2038749,1,2,30,,1.70314E+15,
5451790,2038750,1,2,37,,1.70313E+15,
5451791,2038750,3,2,16,1.70993E+11,1.70314E+15,
5451792,2038750,3,2,15,1.70993E+11,,
5451793,2038750,3,1,10,1.70993E+11,,
5451794,2038750,3,2,9,1.70993E+11,,
5451795,2038750,3,2,7,1.70993E+11,,
5451797,2038751,1,2,38,,,
5451798,2038751,3,1,15,1.70993E+11,,
5451799,2038752,1,2,53,,1.70313E+15,
5451800,2038753,1,2,51,,1.70314E+15,
5451801,2038754,1,2,51,,1.70318E+15,
5451802,2038755,1,1,31,,,
5451803,2038755,18,1,32,,1.70313E+15,
5451804,2038756,1,2,75,,,
5451805,2038756,8,2,36,,,
5451806,2038756,8,2,7,1.70993E+11,,
5451807,2038757,1,2,50,,,
5451808,2038758,1,2,25,,,
5451809,2038759,1,2,47,,,
5451810,2038759,3,2,14,1.70993E+11,,
5451811,2038760,1,2,76,,,
5451812,2038761,1,1,43,,,
5451813,2038762,1,2,29,,,
5451814,2038763,1,1,55,,1.70311E+15,
5451815,2038764,1,2,81,,,
5451816,2038765,1,2,32,,,
5451817,2038766,1,2,80,,,
5451818,2038767,1,1,31,,,
5451819,2038767,18,1,32,,1.70313E+15,
5451820,2038768,1,2,58,,1.70314E+15,
5451821,2038768,3,1,39,,,
5451822,2038768,6,2,60,,,
5451823,2038769,1,1,48,,1.70313E+15,
5451825,2038770,1,2,50,,,
5451826,2038771,1,1,26,,1.70313E+15,
5451827,2038771,2,2,24,,,
5451828,2038772,1,2,63,,1.70314E+15,
5451829,2038773,1,2,63,,,
5451830,2038774,1,2,65,,1.70314E+15,
5451831,2038775,1,2,36,,,
5451832,2038775,3,2,17,1.70993E+11,1.70313E+15,
5451834,2038776,1,2,34,,1.70312E+15,
5451835,2038776,3,2,2,,,
5451836,2038777,1,2,50,,,
5451837,2038777,3,2,22,,1.70313E+15,
5451838,2038778,1,1,45,,1.70314E+15,
5451839,2038779,1,1,34,,1.70313E+15,
5451840,2038779,6,2,36,,,
5451841,2038780,1,2,30,,1.70316E+15,
5451843,2038781,1,2,42,,1.70313E+15,
5451844,2038782,1,2,51,,1.70314E+15,
5451845,2038783,1,1,60,,,
5451846,2038783,2,2,57,,,
5451847,2038783,3,1,20,,,
5451848,2038784,1,2,77,,,
5451849,2038785,1,1,48,,,
5451850,2038785,5,2,19,,,
5451851,2038785,5,2,17,1.70993E+11,1.70317E+15,
5451852,2038785,21,2,49,,1.70313E+15,
5451853,2038786,1,1,48,,1.70314E+15,
5451855,2038787,1,2,65,,,
5451856,2038788,1,1,60,,,
5451857,2038789,1,2,66,,,
5451858,2038790,1,2,38,,1.70314E+15,
5451859,2038790,2,1,41,,,
5451860,2038790,3,2,19,,1.70313E+15,
5451861,2038790,8,1,6,1.70993E+11,,
5451862,2038790,8,2,2,,,
5451863,2038790,8,2,2,,,
5451864,2038791,1,2,38,,,
5451865,2038791,3,1,15,1.70993E+11,,
5451866,2038792,1,2,79,,,
5451867,2038792,3,2,61,,,
5451868,2038793,1,2,45,,,
5451869,2038793,3,2,15,1.70993E+11,,
5451870,2038794,1,2,57,,,
5451871,2038794,3,2,22,,1.70313E+15,
5451872,2038794,3,2,18,,,
5451873,2038795,1,2,41,,,
5451874,2038796,1,2,45,,1.70314E+15,
5451875,2038797,1,2,50,,,
5451876,2038797,20,1,12,1.70993E+11,,
5451877,2038797,20,1,12,1.70993E+11,,
5451878,2038797,20,2,7,1.70993E+11,,
5451879,2038798,1,2,76,,,
5451880,2038799,1,2,46,,1.70313E+15,
5451881,2038799,3,1,21,,1.70314E+15,
5451882,2038799,19,1,53,,,
5451883,2038800,1,1,77,,,
5451884,2038800,3,2,43,,,
5451885,2038800,5,1,42,,,
5451886,2038800,21,2,76,,,
5451887,2038801,1,2,26,,1.70318E+15,
5451889,2038801,3,1,2,,,
5451890,2038801,4,1,0,,,
5451891,2038802,1,2,26,,1.70313E+15,
5451892,2038803,1,2,80,,,
5451893,2038804,1,1,30,,,
5451894,2038804,6,1,32,,1.70315E+15,
5451895,2038804,11,2,28,,1.70314E+15,
5451896,2038805,1,2,39,,1.70313E+15,
5451897,2038805,3,2,19,,1.70313E+15,
5451898,2038805,3,1,18,,,
5451899,2038805,3,1,17,1.70993E+11,1.70312E+15,
5451900,2038805,3,1,15,1.70993E+11,,
5451901,2038805,3,1,14,1.70993E+11,,
5451902,2038806,1,2,27,,,
5451903,2038807,1,1,56,,,
5451904,2038807,19,2,31,,1.70313E+15,
5451905,2038808,1,2,57,,,
5451906,2038808,3,2,22,,1.70314E+15,
5451907,2038808,3,2,18,,,
5451908,2038809,1,2,77,,,
5451909,2038810,1,1,69,,,
5451910,2038810,2,2,55,,,
5451911,2038811,1,2,36,,1.70313E+15,
5451912,2038811,3,1,10,1.70993E+11,,
5451913,2038812,1,2,44,,,
5451914,2038812,3,2,16,1.70993E+11,,
5451915,2038813,1,2,81,,,
5451916,2038814,1,2,57,,,
5451917,2038814,3,2,22,,1.70318E+15,
5451918,2038814,3,2,18,,,
5451919,2038815,1,2,31,,,
5451920,2038816,1,2,76,,,
5451921,2038817,1,2,32,,1.70314E+15,
5451922,2038818,1,1,28,,,
5451923,2038818,2,2,42,,,
5451924,2038819,1,2,66,,,
5451925,2038820,1,1,55,,,
5451926,2038821,1,1,60,,1.70313E+15,
5451927,2038822,1,2,51,,,
5451928,2038823,1,2,71,,,
5451929,2038823,17,1,56,,1.70313E+15,
5451930,2038824,1,2,80,,,
5451931,2038825,1,1,29,,,
5451932,2038826,1,1,26,,1.70318E+15,
5451933,2038826,2,2,24,,1.70313E+15,
5451934,2038827,1,1,28,,,
5451935,2038827,2,2,21,,1.70317E+15,
5451936,2038828,1,2,39,,,
5451937,2038829,1,2,51,,1.70317E+15,
5451938,2038830,1,2,77,,,
5451939,2038831,1,2,83,,,
5451940,2038832,1,2,39,,,
5451941,2038832,3,2,19,,,
5451942,2038832,3,1,18,,,
5451943,2038832,3,1,17,1.70993E+11,1.70314E+15,
5451944,2038832,3,1,15,1.70993E+11,,
5451945,2038832,3,1,14,1.70993E+11,,
5451946,2038833,1,1,34,,1.70314E+15,
5451947,2038833,6,2,36,,1.70314E+15,
5451948,2038834,1,2,79,,,
5451949,2038834,3,2,61,,,
5451950,2038835,1,2,29,,,
5451951,2038836,1,1,45,,,
5451952,2038836,13,1,24,,,
5451953,2038837,1,1,61,,,
5451954,2038837,2,2,57,,,
5451955,2038838,1,1,64,,,
5451956,2038839,1,1,53,,1.70313E+15,
5451957,2038839,2,2,47,,1.70313E+15,
5451958,2038840,1,1,28,,,
5451959,2038841,1,2,79,,,
5451960,2038841,3,2,61,,,
5451961,2038842,1,2,30,,1.70311E+15,
5451962,2038842,3,1,13,1.70993E+11,,
5451963,2038843,1,2,77,,,
5451964,2038843,19,1,62,,,
5451965,2038844,1,1,40,,1.70314E+15,
5451966,2038845,1,2,38,,,
5451967,2038845,3,2,20,,1.70313E+15,
5451968,2038845,3,1,19,,,
5451969,2038845,3,1,12,1.70993E+11,,
5451970,2038846,1,1,79,,,
5451971,2038846,2,2,69,,,
5451972,2038847,1,2,75,,,
5451973,2038847,8,2,36,,,
5451974,2038847,8,2,7,1.70993E+11,,
5451975,2038848,1,2,39,,,
5451976,2038848,3,2,19,,1.70311E+15,
5451977,2038848,3,1,18,,1.70317E+15,
5451978,2038848,3,1,17,1.70993E+11,,
5451979,2038848,3,1,15,1.70993E+11,,
5451980,2038848,3,1,14,1.70993E+11,,
5451981,2038849,1,2,79,,,
5451982,2038849,3,2,61,,,
5451983,2038850,1,1,76,,,
5451984,2038850,2,2,65,,,
5451985,2038851,1,2,76,,,
5451986,2038852,1,2,55,,,
5451987,2038852,3,1,27,,1.70313E+15,
5451988,2038853,1,1,56,,,
5451989,2038854,1,2,29,,,
5451990,2038854,7,2,57,,,
5451991,2038854,3,2,12,1.70993E+11,,
5451992,2038854,3,1,5,1.70993E+11,,
5451993,2038854,3,2,3,,,
5451994,2038855,1,2,76,,,
5451995,2038856,1,2,42,,,
5451996,2038857,1,2,51,,1.70317E+15,
5451997,2038858,1,1,28,,1.70318E+15,
5451998,2038858,2,2,42,,,
5451999,2038859,1,2,58,,,
5452000,2038859,3,1,39,,1.70313E+15,
5452001,2038859,6,2,60,,1.70313E+15,
5452002,2038860,1,1,64,,,
5452003,2038861,1,2,81,,,
5452004,2038862,1,2,23,,,
5452005,2038863,1,2,26,,1.70313E+15,
5452006,2038864,1,1,43,,,
5452007,2038864,2,2,46,,,
5452008,2038865,1,2,51,,,
5452009,2038865,3,2,21,,1.70313E+15,
5452010,2038866,1,1,77,,,
5452011,2038866,3,2,43,,,
5452012,2038866,5,1,42,,,
5452013,2038866,21,2,76,,,
5452014,2038867,1,1,54,,1.70313E+15,
5452015,2038867,2,2,53,,,
5452016,2038867,3,1,27,,1.70313E+15,
5452017,2038867,3,1,22,,,
5452018,2038868,1,1,18,,,
5452019,2038869,1,1,37,,,
5452020,2038869,7,2,60,,,
5452021,2038870,1,1,43,,1.70311E+15,
5452022,2038871,1,2,40,,,
5452023,2038871,2,1,42,,1.70313E+15,
5452025,2038871,3,1,11,1.70993E+11,,
5452026,2038872,1,1,79,,,
5452027,2038873,1,2,34,,1.70314E+15,
5452028,2038874,1,2,49,,1.70318E+15,
5452029,2038874,3,1,2,,,
5452030,2038875,1,2,52,,,
5452031,2038875,3,2,24,,1.70313E+15,
5452032,2038876,1,1,43,,1.70313E+15,
5452033,2038876,6,1,49,,1.70314E+15,
5452034,2038877,1,1,40,,1.70314E+15,
5452035,2038878,1,2,29,,,
5452036,2038879,1,2,27,,,
5452038,2038880,1,2,51,,,
5452039,2038881,1,2,52,,1.70313E+15,
5452040,2038882,1,2,50,,1.70314E+15,
5452041,2038882,8,1,6,1.70993E+11,,
5452042,2038883,1,2,67,,,
5452043,2038883,3,1,40,,1.70314E+15,
5452045,2038883,8,2,4,1.70993E+11,,
5452046,2038883,8,2,14,1.70993E+11,,
5452047,2038884,1,1,46,,,
5452048,2038884,18,1,37,,1.70313E+15,
5452049,2038885,1,2,35,,,
5452050,2038885,3,1,1,,,
5452051,2038886,1,1,29,,,
5452052,2038887,1,2,83,,,
5452053,2038888,1,1,27,,1.70313E+15,
5452054,2038889,1,2,47,,,
5452055,2038889,3,1,21,,1.70318E+15,
5452056,2038889,3,2,16,1.70993E+11,1.70313E+15,
5452057,2038889,8,2,6,1.70993E+11,,
5452058,2038889,8,2,1,,,
5452059,2038889,19,1,46,,1.70313E+15,
5452060,2038890,1,2,81,,,
5452061,2038891,1,2,83,,,
5452062,2038892,1,2,80,,,
5452063,2038893,1,2,47,,,
5452064,2038893,3,1,21,,1.70311E+15,
5452065,2038893,3,2,16,1.70993E+11,,
5452066,2038893,8,2,6,1.70993E+11,,
5452067,2038893,8,2,1,,,
5452068,2038893,19,1,46,,1.70313E+15,
5452069,2038894,1,2,36,,1.70312E+15,
5452070,2038894,3,2,17,1.70993E+11,1.70313E+15,
5452071,2038894,3,1,13,1.70993E+11,,
5452072,2038895,1,2,57,,,
5452073,2038895,3,2,22,,1.70313E+15,
5452074,2038895,3,2,18,,1.70313E+15,
5452075,2038896,1,2,25,,,
5452076,2038896,3,1,3,,,
5452077,2038897,1,2,46,,,
5452078,2038897,13,2,27,,,
5452079,2038898,1,1,60,,,
5452080,2038899,1,1,64,,,
5452081,2038900,1,2,83,,,
5452082,2038901,1,1,46,,,
5452083,2038901,2,2,51,,,
5452086,2038902,1,2,26,,,
5452087,2038903,1,1,48,,,
5452088,2038903,5,2,19,,1.70313E+15,
5452089,2038903,5,2,17,1.70993E+11,,
5452090,2038903,21,2,49,,1.70313E+15,
5452091,2038904,1,2,56,,1.70313E+15,
5452092,2038905,1,2,50,,,
5452093,2038906,1,1,45,,,
5452094,2038906,2,2,27,,,
5452095,2038906,10,1,15,1.70993E+11,,
5452096,2038907,1,2,85,,,
5452097,2038907,13,1,36,,1.7031E+15,
5452098,2038908,1,2,77,,,
5452099,2038908,19,1,62,,,
5452100,2038909,1,2,68,,,
5452101,2038909,8,2,17,1.70993E+11,,
5452102,2038909,8,1,12,1.70993E+11,,
5452103,2038910,1,2,65,,,
5452104,2038911,1,2,38,,1.70313E+15,
5452105,2038911,3,2,18,,1.70311E+15,
5452106,2038911,3,1,13,1.70993E+11,,
5452108,2038911,8,1,3,,,
5452109,2038911,13,1,22,,,
5452110,2038911,21,1,37,,,
5452111,2038912,1,2,27,,,
5452112,2038912,3,1,9,1.70993E+11,,
5452113,2038912,3,2,7,1.70993E+11,,
5452114,2038912,3,2,3,,,
5452115,2038913,1,2,56,,,
5452117,2038913,19,1,58,,,
5452118,2038914,1,2,26,,1.70314E+15,
5452120,2038914,3,1,2,,,
5452121,2038914,4,1,0,,,
5452122,2038915,1,2,53,,,
5452123,2038916,1,2,79,,,
5452124,2038916,3,2,61,,,
5452125,2038917,1,2,81,,,
5452126,2038918,1,2,45,,1.70313E+15,
5452127,2038918,3,2,15,1.70993E+11,,
5452128,2038919,1,2,30,,,
5452129,2038920,1,2,27,,,
5452130,2038920,3,1,9,1.70993E+11,,
5452131,2038920,3,2,7,1.70993E+11,,
5452132,2038920,3,2,3,,,
5452133,2038921,1,1,47,,,
5452134,2038922,1,2,44,,1.70313E+15,
5452135,2038922,3,1,15,1.70993E+11,,
5452136,2038922,3,1,5,1.70993E+11,,
5452137,2038923,1,2,53,,,
5452138,2038924,1,2,34,,,
5452139,2038924,3,2,15,1.70993E+11,,
5452140,2038925,1,2,77,,,
5452141,2038925,19,1,62,,,
5452142,2038926,1,2,32,,,
5452143,2038927,1,1,34,,1.70315E+15,
5452144,2038927,6,2,36,,,
5452145,2038928,1,1,48,,1.70318E+15,
5452146,2038929,1,2,46,,,
5452147,2038929,3,1,23,,1.70314E+15,
5452148,2038929,3,1,17,1.70993E+11,1.70313E+15,
5452149,2038929,3,1,9,1.70993E+11,,
5452150,2038930,1,2,81,,,
5452151,2038931,1,2,68,,,
5452152,2038932,1,2,83,,,
5452153,2038933,1,1,34,,1.70315E+15,
5452154,2038933,6,2,36,,,
5452155,2038934,1,2,79,,,
5452156,2038934,3,2,61,,,
5452157,2038935,1,2,37,,,
5452158,2038935,3,2,19,,,
5452161,2038935,3,2,7,1.70993E+11,,
5452162,2038936,1,2,65,,,
5452163,2038937,1,2,80,,,
5452164,2038937,8,2,38,,,
5452165,2038938,1,1,55,,,
5452166,2038939,1,2,77,,,
5452167,2038939,19,1,62,,,
5452168,2038940,1,2,27,,1.70314E+15,
5452169,2038941,1,2,29,,1.70314E+15,
5452170,2038941,7,2,57,,1.70318E+15,
5452171,2038941,3,2,12,1.70993E+11,,
5452172,2038941,3,1,5,1.70993E+11,,
5452173,2038941,3,2,3,,,
5452174,2038942,1,2,26,,,
5452176,2038943,1,2,53,,,
5452177,2038944,1,2,27,,,
5452178,2038945,1,1,42,,,
5452179,2038945,2,2,29,,,
5452181,2038945,3,1,5,1.70993E+11,,
5452182,2038946,1,2,51,,1.70314E+15,
5452183,2038947,1,2,47,,,
5452184,2038947,3,1,21,,,
5452185,2038947,3,2,16,1.70993E+11,,
5452186,2038947,8,2,6,1.70993E+11,,
5452187,2038947,8,2,1,,,
5452188,2038947,19,1,46,,,
5452189,2038948,1,2,30,,1.70318E+15,
5452191,2038949,1,2,80,,,
5452192,2038949,8,2,38,,,
5452193,2038950,1,1,26,,1.70313E+15,
5452194,2038950,6,1,21,,,
5452195,2038951,1,2,29,,,
5452196,2038952,1,1,75,,,
5452197,2038953,1,1,52,,1.70318E+15,
5452198,2038954,1,2,81,,,
5452199,2038955,1,2,35,,,
5452200,2038956,1,2,26,,1.70313E+15,
5452202,2038957,1,2,27,,1.70313E+15,
5452203,2038958,1,1,52,,,
5452204,2038959,1,1,41,,,
5452205,2038960,1,2,83,,,
5452206,2038961,1,2,32,,1.70313E+15,
5452208,2038961,3,2,7,1.70993E+11,,
5452209,2038961,3,2,1,,,
5452210,2038962,1,1,29,,1.70313E+15,
5452211,2038963,1,1,54,,,
5452212,2038963,2,2,52,,,
5452213,2038963,3,2,19,,,
5452214,2038964,1,1,48,,,
5452215,2038964,5,2,19,,,
5452216,2038964,5,2,17,1.70993E+11,,
5452217,2038964,21,2,49,,1.70313E+15,
5452218,2038965,1,2,75,,,
5452219,2038965,8,2,36,,,
5452220,2038965,8,2,7,1.70993E+11,,
5452221,2038966,1,2,42,,,
5452222,2038967,1,2,50,,1.70311E+15,
5452223,2038968,1,2,81,,,
5452224,2038969,1,2,75,,,
5452225,2038969,8,2,36,,,
5452226,2038969,8,2,7,1.70993E+11,,
5452227,2038970,1,2,42,,1.70314E+15,
5452228,2038971,1,2,80,,,
5452229,2038972,1,2,40,,,
5452230,2038972,3,2,18,,1.70318E+15,
5452231,2038972,3,1,9,1.70993E+11,,
5452232,2038973,1,2,77,,,
5452233,2038973,19,1,62,,,
5452234,2038974,1,2,83,,,
5452235,2038975,1,2,75,,,
5452236,2038975,8,2,36,,1.70314E+15,
5452237,2038975,8,2,7,1.70993E+11,,
5452238,2038976,1,1,26,,1.70313E+15,
5452239,2038976,6,1,21,,,
5452240,2038977,1,2,26,,1.70314E+15,
5452242,2038978,1,2,45,,1.70314E+15,
5452243,2038978,3,2,6,1.70993E+11,,
5452244,2038979,1,2,80,,,
5452245,2038980,1,2,29,,1.70316E+15,
5452246,2038981,1,2,50,,1.70315E+15,
5452247,2038981,3,2,22,,,
5452248,2038982,1,2,55,,,
5452249,2038982,3,1,27,,,
5452250,2038983,1,2,80,,,
5452251,2038984,1,1,50,,1.70313E+15,
5452252,2038985,1,1,32,,1.70312E+15,
5452253,2038986,1,2,68,,1.70313E+15,
5452254,2038986,8,2,17,1.70993E+11,,
5452255,2038986,8,1,12,1.70993E+11,,
5452256,2038987,1,2,40,,1.70314E+15,
5452257,2038988,1,1,45,,1.70311E+15,
5452258,2038988,2,2,44,,1.70313E+15,
5452261,2038989,1,2,20,,,
5452262,2038989,2,1,26,,,
5452263,2038989,3,1,0,,,
5452264,2038990,1,1,48,,,
5452265,2038990,5,2,19,,1.70313E+15,
5452266,2038990,5,2,17,1.70993E+11,,
5452267,2038990,21,2,49,,1.70314E+15,
5452268,2038991,1,1,26,,,
5452269,2038991,2,2,24,,1.70317E+15,
