person_id,hh_id,relate,sex,age,gq_id,school_id,work_id,tucaseid_weekend,tucaseid_weekday,infected
"5451242","2038548",1,2,23,"","","","20050302052139","20050503051519",0
"5451243","2038548",3,2,7,"","170993000668","","6111-034-2002-2","6111-034-2002-1",0
"5451244","2038548",3,2,3,"","","","5991-034-1997-2","5991-034-1997-1",0
"5451245","2038548",19,1,47,"","","10054259","20060111050076","20070402071994",0
"5451280","2038559",1,1,79,"","","","20050201052171","20031211032839",0
"5451282","2038561",1,2,39,"","","170319101368","20040908040068","20030908031553",0
"5451283","2038561",3,2,19,"","","1703181960000023","20050907051749","20050605052329",0
"5451284","2038561",3,1,18,"","","1703131140000093","20050806051270","20050503051574",0
"5451285","2038561",3,1,17,"","170993000925","","20050806051270","20050503051574",0
"5451286","2038561",3,1,15,"","170993000925","","20050201051947","20050402051444",0
"5451287","2038561",3,1,14,"","170993004265","","6129-036-1997-2","6129-036-1997-1",0
"5451288","2038562",1,2,82,"","","","20041211041137","20031210030798",0
"5451289","2038562",8,1,30,"","","","20061211060095","20050302051029",0
"5451290","2038562",3,2,50,"","","1703181230000566","20060101062304","20041211041298",0
"5451291","2038562",3,2,50,"","","","20030503031738","20060807060768",0
"5451294","2038564",1,2,49,"","","1703144020000158","20051211052509","20050201050829",0
"5451295","2038565",1,2,22,"","","1703135140000013","20040403040515","20050505050105",0
"5451296","2038565",3,1,6,"","170993001163","","5623-055-2002-2","5623-055-2002-1",0
"5451297","2038565",19,1,21,"","","1703132050002512","20040807041563","20051211050092",0
"5451345","2038584",1,1,42,"","","","20060504061262","20070503072281",0
"5451346","2038584",2,2,41,"","","","20050908051871","20050909050566",0
"5451347","2038584",3,2,12,"","170319101465","","6103-040-1997-2","6103-040-1997-1",0
"5451348","2038584",3,1,5,"","170319101209","","5965-037-2002-2","5965-037-2002-1",0
"5451349","2038584",9,2,60,"","","","20031210030771","20040111030722",0
"5451350","2038584",12,1,8,"","170993001163","","5926-031-1997-2","5926-031-1997-1",0
"5451406","2038600",1,2,22,"","","170993001014","20041109040053","20050112042109",0
"5451407","2038600",3,1,4,"","170993000667","","6287-044-1997-2","6287-044-1997-1",0
"5451438","2038609",1,2,22,"","","1703132050001049","20040403040515","20050505050105",0
"5451439","2038609",3,1,6,"","170993001163","","5623-055-2002-2","5623-055-2002-1",0
"5451440","2038609",19,1,21,"","","1703132050002513","20040807041563","20051211050092",0
"5451572","2038649",1,2,68,"","","","20050111041785","20050503051875",0
"5451573","2038649",8,2,17,"","170993000925","1703132010002232","20040302042438","20050504051269",0
"5451574","2038649",8,1,12,"","170993000668","","6024-033-1997-2","6024-033-1997-1",0
"5451582","2038652",1,2,34,"","","1703167200000028","20041110042225","20041211040029",0
"5451583","2038652",3,2,4,"","170993000667","","6335-037-2002-2","6335-037-2002-1",0
"5451584","2038652",3,1,12,"","170993000668","","6159-033-1997-2","6159-033-1997-1",0
"5451585","2038652",3,2,10,"","170993001014","","5219-193-2002-2","5219-193-2002-1",0
"5451586","2038652",3,1,8,"","170993001163","","6232-046-2002-2","6232-046-2002-1",0
"5451599","2038656",1,2,76,"","","","20040706041281","20041110040505",0
"5451600","2038657",1,1,57,"","","","20060807062237","20030908033247",0
"5451601","2038658",1,2,38,"","","","20050302051623","20030706030110",0
"5451602","2038658",3,1,18,"","","","20040112032052","20060505062098",0
"5451603","2038658",3,1,16,"","170993000925","","20050806051270","20050503051574",0
"5451604","2038659",1,2,45,"","","","20060212051032","20041108041919",0
"5451605","2038660",1,2,26,"","","","20060604061621","20060404061164",0
"5451606","2038660",3,1,8,"","170993001014","","2688-036-2002-2","2688-036-2002-1",0
"5451607","2038661",1,2,56,"","","","20051110050648","20040908040062",0
"5451608","2038662",1,2,29,"","","","20040908040058","20060706061427",0
"5451609","2038662",3,2,10,"","170993001014","","5308-032-1997-2","5308-032-1997-1",0
"5451610","2038662",3,2,8,"","170993001014","","6750-185-2002-2","6750-185-2002-1",0
"5451611","2038663",1,1,29,"","","","20041109040500","20050402050972",0
"5451612","2038663",6,1,30,"","","1703128020000364","20031211032296","20040807040108",0
"5451613","2038664",1,1,75,"","","","20071110070836","20050403051372",0
"5451614","2038665",1,2,27,"","","1703132050002527","20070201071262","20060301061293",0
"5451615","2038665",3,1,9,"","170993001163","","5305-037-2002-2","5305-037-2002-1",0
"5451616","2038665",3,2,7,"","170993000668","","5812-050-1997-2","5812-050-1997-1",0
"5451617","2038665",3,2,3,"","","","6066-031-1997-2","6066-031-1997-1",0
"5451618","2038666",1,1,48,"","","1703168090000035","20070212061375","20050504050522",0
"5451619","2038666",2,2,45,"","","","20060907061389","20050504051633",0
"5451620","2038666",3,1,22,"","","1703141140000065","20071110070960","20060112052117",0
"5451621","2038667",1,2,51,"","","1703125190000028","20030705031356","20050808050925",0
"5451622","2038668",1,2,30,"","","","20050403051027","20040201042222",0
"5451623","2038668",3,1,13,"","170993001162","","6635-052-2007-2","6635-052-2007-1",0
"5451624","2038669",1,2,79,"","","","20050403050835","20050302051004",0
"5451625","2038669",3,2,61,"","","","20031110031718","20050605050864",0
"5451626","2038670",1,2,81,"","","","20070403071962","20041111042426",0
"5451627","2038671",1,2,27,"","","","20050503050954","20030504030697",0
"5451628","2038672",1,2,29,"","","1703138120000035","20050706051749","20030606030133",0
"5451629","2038672",3,1,12,"","170993000668","","5299-057-2007-2","5299-057-2007-1",0
"5451630","2038672",3,2,8,"","170993001163","","6232-047-2002-2","6232-047-2002-1",0
"5451631","2038672",3,2,3,"","","","6066-031-1997-2","6066-031-1997-1",0
"5451632","2038673",1,1,81,"","","","20030302032111","20030403031099",0
"5451633","2038673",2,2,51,"","","1703149050000020","20060112051837","20070605072139",0
"5451634","2038674",1,2,59,"","","1703135140000002","20030212022355","20030908031843",0
"5451635","2038674",3,1,29,"","","10054262","20040808040042","20061110062072",0
"5451636","2038675",1,2,79,"","","","20050403050835","20050302051004",0
"5451637","2038675",3,2,61,"","","","20031110031718","20050605050864",0
"5451638","2038676",1,2,30,"","","1703132010002232","20040403041679","20040112031614",0
"5451639","2038676",3,2,11,"","170993001014","","5664-033-2002-2","5664-033-2002-1",0
"5451640","2038676",3,2,9,"","170993001014","","5821-173-1997-2","5821-173-1997-1",0
"5451641","2038677",1,2,80,"","","","20030907031437","20070101071181",0
"5451642","2038678",1,2,77,"","","","20040806042121","20050112041842",0
"5451643","2038678",19,1,62,"","","","20070403070089","20051109052514",0
"5451644","2038679",1,2,81,"","","","20070403071962","20041111042426",0
"5451645","2038680",1,2,80,"","","","20030907031437","20070101071181",0
"5451646","2038681",1,1,28,"","","","20051211052482","20060606060575",0
"5451647","2038681",2,2,42,"","","10054259","20060404061713","20050808051843",0
"5451648","2038682",1,1,81,"","","","20030302032111","20030403031099",0
"5451649","2038682",2,2,51,"","","","20060112051837","20070605072139",0
"5451650","2038683",1,2,29,"","","","20050706051749","20030606030133",0
"5451651","2038683",3,1,12,"","170993000668","","5299-057-2007-2","5299-057-2007-1",0
"5451652","2038683",3,2,8,"","170993001014","","6232-047-2002-2","6232-047-2002-1",0
"5451653","2038683",3,2,3,"","","","6066-031-1997-2","6066-031-1997-1",0
"5451654","2038684",1,1,75,"","","","20071110070836","20050403051372",0
"5451655","2038685",1,2,65,"","","","20060403061247","20041008042302",0
"5451656","2038686",1,1,73,"","","","20070908072292","20070302072398",0
"5451657","2038686",2,2,71,"","","","20041010041780","20040706042315",0
"5451658","2038687",1,1,27,"","","10054259","20050706050517","20061210060029",0
"5451659","2038687",19,2,28,"","","1703180760000292","20060807061470","20060504062455",0
"5451660","2038688",1,2,76,"","","","20040706041281","20041110040505",0
"5451661","2038689",1,1,81,"","","","20030302032111","20030403031099",0
"5451662","2038689",2,2,70,"","","1703141140000065","20060201062498","20070503070874",0
"5451663","2038690",1,1,43,"","","1703108140001226","20050403051432","20050504051880",0
"5451664","2038690",2,2,41,"","","","20060909061562","20060112052441",0
"5451665","2038690",3,1,14,"","170993004265","","6657-031-1997-2","6657-031-1997-1",0
"5451666","2038690",3,2,12,"","170993000668","","6107-047-2007-2","6107-047-2007-1",0
"5451667","2038690",3,2,7,"","170993000668","","5495-034-2002-2","5495-034-2002-1",0
"5451668","2038690",17,2,34,"","","1703181230000446","20070212062391","20060301062160",0
"5451669","2038691",1,2,68,"","","","20050707050930","20071009071280",0
"5451670","2038692",1,2,26,"","","1703132030000618","20040504041923","20041009042456",0
"5451671","2038693",1,2,34,"","","","20060112051995","20060302060514",0
"5451672","2038694",1,2,27,"","","172163002427","20050503050954","20030504030697",0
"5451673","2038695",1,2,65,"","","1703128200000009","20030605030176","20051110052382",0
"5451674","2038696",1,2,51,"","","1703132060000173","20030705031356","20050808050925",0
"5451675","2038697",1,2,42,"","","1703132010002232","20060101060533","20040504041507",0
"5451676","2038698",1,2,45,"","","","20050403051353","20051110051086",0
"5451677","2038699",1,1,69,"","","","20060201062520","20060112052075",0
"5451678","2038699",2,2,55,"","","","20050908051348","20050504051910",0
"5451679","2038700",1,2,55,"","","","20051110050648","20040908040062",0
"5451680","2038701",1,1,40,"","","1703108150000711","20031211033069","20040112030912",0
"5451681","2038701",2,2,36,"","","","20050112042267","20050908050641",0
"5451682","2038701",5,2,17,"","170993000925","","20050907051749","20050605052329",0
"5451683","2038701",3,1,16,"","170993000925","","20050806051270","20050503051574",0
"5451684","2038701",3,2,14,"","170993004265","","2701-049-2007-2","2701-049-2007-1",0
"5451685","2038701",3,2,2,"","","","5613-048-1997-2","5613-048-1997-1",0
"5451686","2038702",1,1,51,"","","","20051010050074","20051210051024",0
"5451687","2038703",1,2,46,"","","","20050201051942","20050112041900",0
"5451688","2038703",3,2,17,"","170993000925","1703132050002407","20050907051749","20050605052329",0
"5451689","2038704",1,1,31,"","","","20050908052113","20040706042427",0
"5451690","2038705",1,1,78,"","","","20071009072237","20030212021892",0
"5451691","2038705",3,2,21,"","","1703144010000152","20031212032634","20030403031109",0
"5451692","2038706",1,2,51,"","","1703166040000047","20030705031356","20050808050925",0
"5451693","2038707",1,2,68,"","","1703128020000371","20050707050930","20071009071280",0
"5451694","2038708",1,2,32,"","","","20061211061995","20030112022445",0
"5451695","2038709",1,1,46,"","","","20070201071277","20061009062519",0
"5451696","2038709",3,1,17,"","170319102205","1703181960000038","20050806051270","20050503051574",0
"5451697","2038710",1,2,50,"","","","20060908061307","20060301060879",0
"5451698","2038710",20,1,12,"","170993004265","","5299-057-2007-2","5299-057-2007-1",0
"5451699","2038710",20,1,12,"","170993004265","","5299-057-2007-2","5299-057-2007-1",0
"5451700","2038710",20,2,7,"","170993000668","","5812-050-1997-2","5812-050-1997-1",0
"5451701","2038711",1,2,32,"","","1703133010000280","20040302042030","20050201052187",0
"5451702","2038712",1,1,26,"","","","20041211041787","20050301051374",0
"5451703","2038712",2,2,24,"","","1703139050000003","20070112062279","20050101050146",0
"5451704","2038713",1,1,60,"","","","20030504032396","20060706060522",0
"5451705","2038714",1,2,35,"","","","20060112050912","20050707050043",0
"5451706","2038714",2,1,37,"","","1703172030000025","20050604051679","20040505041406",0
"5451707","2038715",1,1,65,"","","","20040706040062","20050505050839",0
"5451708","2038715",3,2,8,"","170993001014","","2558-171-1997-2","2558-171-1997-1",0
"5451709","2038715",3,2,9,"","170993000668","","6484-044-1997-2","6484-044-1997-1",0
"5451710","2038715",19,2,47,"","","","20051211050931","20031212030200",0
"5451711","2038716",1,2,38,"","","","20050112042267","20050908050641",0
"5451712","2038716",3,1,15,"","170993000761","","20050201051947","20050402051444",0
"5451713","2038717",1,1,29,"","","","20050604051248","20070908071521",0
"5451714","2038718",1,2,63,"","","","20060403061247","20041008042302",0
"5451715","2038719",1,2,79,"","","","20050403050835","20050302051004",0
"5451716","2038719",3,2,61,"","","","20031110031718","20050605050864",0
"5451717","2038720",1,2,79,"","","","20050403050835","20050302051004",0
"5451718","2038720",8,2,25,"","","","20050302052139","20050503051519",0
"5451719","2038720",3,1,44,"","","1703125190000028","20031211033069","20040112030912",0
"5451720","2038720",8,1,5,"","170319101209","","5926-036-1997-2","5926-036-1997-1",0
"5451721","2038721",1,2,35,"","","1703176090000280","20060112050912","20050707050043",0
"5451722","2038721",2,1,37,"","","","20050604051679","20040505041406",0
"5451723","2038722",1,2,53,"","","","20050908051348","20050504051910",0
"5451724","2038722",3,1,37,"","","1703138120000031","20060101061531","20070302071349",0
"5451725","2038723",1,2,81,"","","","20070403071962","20041111042426",0
"5451726","2038724",1,2,56,"","","","20051110050648","20040908040062",0
"5451727","2038725",1,2,55,"","","","20030807032300","20030112021385",0
"5451728","2038725",3,1,27,"","","1703132060000173","20060112051831","20070112061640",0
"5451729","2038726",1,2,22,"","","1703138120000026","20040706041492","20050505050105",0
"5451730","2038726",3,1,6,"","170993000668","","5623-055-2002-2","5623-055-2002-1",0
"5451731","2038726",19,1,21,"","","","20040807041563","20051211050092",0
"5451732","2038727",1,1,26,"","","1703182850600062","20070605070729","20070605072471",0
"5451733","2038727",6,1,21,"","","","20070908070748","20071211072427",0
"5451734","2038728",1,2,25,"","","1703132030001072","20061009062074","20050807050530",0
"5451735","2038728",3,2,7,"","170993000668","","6588-040-1997-2","6588-040-1997-1",0
"5451736","2038728",3,2,5,"","170993001014","","5678-037-1997-2","5678-037-1997-1",0
"5451737","2038728",3,1,3,"","","","5493-042-1997-2","5493-042-1997-1",0
"5451738","2038728",16,1,27,"","","1703128020000367","20040807041563","20051211050092",0
"5451739","2038729",1,2,38,"","","1703138120000035","20040302041599","20050201052187",0
"5451740","2038729",3,2,20,"","","1703181960000101","20040302040952","20050807051883",0
"5451741","2038729",3,1,19,"","","1703141070000058","20060807061549","20060605062092",0
"5451742","2038729",3,1,12,"","170993000668","","5299-057-2007-2","5299-057-2007-1",0
"5451743","2038730",1,2,41,"","","1703132010002189","20040908041963","20040303040071",0
"5451744","2038730",3,1,18,"","","1703132010002218","20060101061598","20061009061948",0
"5451745","2038730",6,1,24,"","","1703142070000021","20041211041787","20050301051374",0
"5451746","2038730",19,1,32,"","","1703132030000569","20031111031323","20060111050535",0
"5451747","2038731",1,1,59,"","","1703131140000091","20061110062478","20060201060955",0
"5451748","2038731",3,1,23,"","","","20031211033192","20040202040862",0
"5451749","2038732",1,2,27,"","","","20070201071262","20060301061293",0
"5451750","2038732",3,1,9,"","170993000668","","5305-037-2002-2","5305-037-2002-1",0
"5451751","2038732",3,2,7,"","170993000668","","5812-050-1997-2","5812-050-1997-1",0
"5451752","2038732",3,2,3,"","","","6066-031-1997-2","6066-031-1997-1",0
"5451753","2038733",1,2,38,"","","1703138040000021","20060112050912","20050707050043",0
"5451754","2038733",3,2,18,"","","","20041009042164","20061211062047",0
"5451755","2038733",3,1,13,"","170993001162","","5612-040-2007-2","5612-040-2007-1",0
"5451756","2038733",3,1,11,"","170993001162","","5215-033-1997-2","5215-033-1997-1",0
"5451757","2038733",8,1,3,"","","","6499-039-1997-2","6499-039-1997-1",0
"5451758","2038733",13,1,22,"","","","20060807060705","20061110061092",0
"5451759","2038733",21,1,37,"","","","20050201052223","20050403051777",0
"5451760","2038734",1,2,83,"","","","20040212033328","20050504051057",0
"5451761","2038734",8,1,27,"","","1703138120000033","20031211033192","20040202040862",0
"5451762","2038734",3,1,46,"","","1703138140000047","20060201060587","20071008071329",0
"5451763","2038735",1,2,39,"","","","20060403060589","20051008051524",0
"5451764","2038736",1,2,31,"","","","20040302041042","20070603072149",0
"5451765","2038736",3,2,6,"","170319101599","","6793-040-2002-2","6793-040-2002-1",0
"5451766","2038736",4,1,2,"","","","5332-041-1997-2","5332-041-1997-1",0
"5451767","2038737",1,2,29,"","","1703108120000591","20050201052403","20061212062493",0
"5451768","2038738",1,2,75,"","","","20070403071259","20051009051600",0
"5451769","2038738",8,2,36,"","","","20050302051623","20030706030110",0
"5451770","2038738",8,2,7,"","170993000668","","6657-033-2002-2","6657-033-2002-1",0
"5451771","2038739",1,2,55,"","","","20051110050648","20040908040062",0
"5451772","2038740",1,2,32,"","","1703138140000056","20040302041042","20031008031117",0
"5451773","2038741",1,2,50,"","","1703144020000168","20051110050648","20040908040062",0
"5451774","2038742",1,1,59,"","","","20061110062478","20060201060955",0
"5451775","2038742",3,1,23,"","","1703132060000174","20031211033192","20040202040862",0
"5451776","2038743",1,1,76,"","","","20071009072237","20041009040883",0
"5451777","2038743",2,2,65,"","","","20031110031718","20050605050864",0
"5451778","2038744",1,2,47,"","","1703128200000144","20060505061046","20060302060586",0
"5451779","2038744",3,1,21,"","","","20041211041787","20050301051374",0
"5451780","2038744",3,2,16,"","170993000925","10054264","20050907051749","20050605052329",0
"5451781","2038744",8,2,6,"","170993000668","","5678-034-1997-2","5678-034-1997-1",0
"5451782","2038744",8,2,1,"","","","5031-050-1997-2","5031-050-1997-1",0
"5451783","2038744",19,1,46,"","","","20060504062182","20040302041186",0
"5451784","2038745",1,2,57,"","","1703181960000031","20061211061203","20061211061864",0
"5451785","2038746",1,2,81,"","","","20070403071962","20041111042426",0
"5451786","2038747",1,1,45,"","","1703132010002188","20070112061659","20070605072459",0
"5451787","2038748",1,2,76,"","","","20041212041089","20050404050958",0
"5451788","2038749",1,2,30,"","","170993000984","20050403051027","20040201042222",0
"5451789","2038749",3,1,13,"","170993001162","","6635-052-2007-2","6635-052-2007-1",0
"5451790","2038750",1,2,37,"","","1703132050002521","20060302061453","20061211061683",0
"5451791","2038750",3,2,16,"","170993000925","1703139050000009","20050907051749","20050605052329",0
"5451792","2038750",3,2,15,"","170993000761","","20050605051887","20050504051945",0
"5451793","2038750",3,1,10,"","170993001014","","6335-038-2007-2","6335-038-2007-1",0
"5451794","2038750",3,2,9,"","170993000668","","6041-039-1997-2","6041-039-1997-1",0
"5451795","2038750",3,2,7,"","170993000668","","5995-038-1997-2","5995-038-1997-1",0
"5451796","2038750",3,1,8,"","170993001163","","5031-044-1997-2","5031-044-1997-1",0
"5451797","2038751",1,2,38,"","","","20050112042267","20050908050641",0
"5451798","2038751",3,1,15,"","170993000761","","20050201051947","20050402051444",0
"5451799","2038752",1,2,53,"","","1703133010000251","20030705031356","20050808050925",0
"5451800","2038753",1,2,51,"","","10054278","20030705031356","20050808050925",0
"5451801","2038754",1,2,51,"","","1703181960000078","20030807032300","20030112021385",0
"5451802","2038755",1,1,31,"","","","20050807050953","20040605040038",0
"5451803","2038755",18,1,32,"","","1703132010001661","20050807050953","20040605040038",0
"5451804","2038756",1,2,75,"","","","20070403071259","20051009051600",0
"5451805","2038756",8,2,36,"","","","20050302051623","20030706030110",0
"5451806","2038756",8,2,7,"","170993000668","","6657-033-2002-2","6657-033-2002-1",0
"5451807","2038757",1,2,50,"","","","20050101051122","20050201051222",0
"5451808","2038758",1,2,25,"","","","20031110033196","20040705041063",0
"5451809","2038759",1,2,47,"","","","20061009062548","20060706060505",0
"5451810","2038759",3,2,14,"","170993004265","","6664-173-2002-2","6664-173-2002-1",0
"5451811","2038760",1,2,76,"","","","20041212041089","20050404050958",0
"5451812","2038761",1,1,43,"","","","20060111050076","20070402071994",0
"5451813","2038762",1,2,29,"","","","20050201052403","20061212062493",0
"5451814","2038763",1,1,55,"","","1703108140001287","20070111061507","20030807031711",0
"5451815","2038764",1,2,81,"","","","20070403071962","20041111042426",0
"5451816","2038765",1,2,32,"","","","20040302041042","20031008031117",0
"5451817","2038766",1,2,80,"","","","20030907031437","20070101071181",0
"5451818","2038767",1,1,31,"","","","20050807050953","20040605040038",0
"5451819","2038767",18,1,32,"","","1703128300000043","20050807050953","20040605040038",0
"5451820","2038768",1,2,58,"","","1703138120000016","20050908051348","20050504051910",0
"5451821","2038768",3,1,39,"","","","20050212041759","20060504061935",0
"5451822","2038768",6,2,60,"","","","20050707050930","20071009071280",0
"5451823","2038769",1,1,48,"","","1703125150000040","20071008071050","20060403061999",0
"5451824","2038769",3,1,11,"","170993000966","","5872-038-2002-2","5872-038-2002-1",0
"5451825","2038770",1,2,50,"","","","20030212022355","20030908031843",0
"5451826","2038771",1,1,26,"","","1703128020000343","20041211041787","20050301051374",0
"5451827","2038771",2,2,24,"","","","20070112062279","20050101050146",0
"5451828","2038772",1,2,63,"","","1703138140000056","20060403061247","20041008042302",0
"5451829","2038773",1,2,63,"","","","20060403061247","20041008042302",0
"5451830","2038774",1,2,65,"","","1703139050000004","20060403061247","20041008042302",0
"5451831","2038775",1,2,36,"","","","20051009051962","20061009061031",0
"5451832","2038775",3,2,17,"","170993000925","1703133010000143","20050907051749","20050605052329",0
"5451833","2038775",3,1,13,"","170993001162","","6191-030-1997-2","6191-030-1997-1",0
"5451834","2038776",1,2,34,"","","1703124220000070","20050908051073","20070706070096",0
"5451835","2038776",3,2,2,"","","","5065-046-1997-2","5065-046-1997-1",0
"5451836","2038777",1,2,50,"","","","20051110050648","20040908040062",0
"5451837","2038777",3,2,22,"","","1703128300000044","20060604061621","20060404061164",0
"5451838","2038778",1,1,45,"","","1703141140000065","20060111051967","20050807051089",0
"5451839","2038779",1,1,34,"","","1703132050002536","20031111033544","20031009031254",0
"5451840","2038779",6,2,36,"","","","20060112050912","20050707050043",0
"5451841","2038780",1,2,30,"","","1703162040000027","20050403051027","20040201042222",0
"5451842","2038780",3,1,13,"","170993001162","","6635-052-2007-2","6635-052-2007-1",0
"5451843","2038781",1,2,42,"","","1703132030001067","20060403061004","20040504040990",0
"5451844","2038782",1,2,51,"","","1703139050000007","20030705031356","20050808050925",0
"5451845","2038783",1,1,60,"","","","20040807040516","20040302041703",0
"5451846","2038783",2,2,57,"","","","20040807040059","20050201050973",0
"5451847","2038783",3,1,20,"","","","20040806041957","20030807032829",0
"5451848","2038784",1,2,77,"","","","20041212041089","20050404050958",0
"5451849","2038785",1,1,48,"","","","20050908050669","20060303062376",0
"5451850","2038785",5,2,19,"","","","20050907051749","20050605052329",0
"5451851","2038785",5,2,17,"","170993000925","10054264","20050907051749","20050605052329",0
"5451852","2038785",21,2,49,"","","1703133030000008","20030705033175","20030706032853",0
"5451853","2038786",1,1,48,"","","10054259","20071008071050","20060403061999",0
"5451854","2038786",3,1,11,"","170993001162","","5872-038-2002-2","5872-038-2002-1",0
"5451855","2038787",1,2,65,"","","","20060403061247","20041008042302",0
"5451856","2038788",1,1,60,"","","","20030504032396","20060706060522",0
"5451857","2038789",1,2,66,"","","","20030605032515","20051110051189",0
"5451858","2038790",1,2,38,"","","1703139050000008","20060112051995","20050404051412",0
"5451859","2038790",2,1,41,"","","","20050908050669","20060303062376",0
"5451860","2038790",3,2,19,"","","1703132050001508","20060707061255","20070705071525",0
"5451861","2038790",8,1,6,"","170993000668","","6024-035-2002-2","6024-035-2002-1",0
"5451862","2038790",8,2,2,"","","","6735-045-1997-2","6735-045-1997-1",0
"5451863","2038790",8,2,2,"","","","6735-045-1997-2","6735-045-1997-1",0
"5451864","2038791",1,2,38,"","","","20050112042267","20050908050641",0
"5451865","2038791",3,1,15,"","170993000761","","20050201051947","20050402051444",0
"5451866","2038792",1,2,79,"","","","20050403050835","20050302051004",0
"5451867","2038792",3,2,61,"","","","20031110031718","20050605050864",0
"5451868","2038793",1,2,45,"","","","20040112030022","20040403041051",0
"5451869","2038793",3,2,15,"","170993000761","","20050605051887","20050504051945",0
"5451870","2038794",1,2,57,"","","","20050908051348","20050504051910",0
"5451871","2038794",3,2,22,"","","1703128020000363","20050302052139","20050503051519",0
"5451872","2038794",3,2,18,"","","","20060707061255","20070705071525",0
"5451873","2038795",1,2,41,"","","","20031009032764","20030909031337",0
"5451874","2038796",1,2,45,"","","1703144020000170","20051211052509","20050201050829",0
"5451875","2038797",1,2,50,"","","","20060908061307","20060301060879",0
"5451876","2038797",20,1,12,"","170993000668","","5299-057-2007-2","5299-057-2007-1",0
"5451877","2038797",20,1,12,"","170993000668","","5299-057-2007-2","5299-057-2007-1",0
"5451878","2038797",20,2,7,"","170993000668","","5812-050-1997-2","5812-050-1997-1",0
"5451879","2038798",1,2,76,"","","","20041212041089","20050404050958",0
"5451880","2038799",1,2,46,"","","1703128300000046","20060505061046","20060302060586",0
"5451881","2038799",3,1,21,"","","170993001032","20040807041563","20051211050092",0
"5451882","2038799",19,1,53,"","","","20030706030012","20041210042423",0
"5451883","2038800",1,1,77,"","","","20041009041582","20050908051742",0
"5451884","2038800",3,2,43,"","","","20031111030133","20041108040958",0
"5451885","2038800",5,1,42,"","","","20031212031468","20070302070549",0
"5451886","2038800",21,2,76,"","","","20050403050835","20050302051004",0
"5451887","2038801",1,2,26,"","","1703182020100193","20060101062497","20050302051339",0
